timestamp_utc,scenario_name,scenario_type,bench_round,metric_group,operation,iteration,table_name,source_site_id,operation_type,duration_ms,query_execution_ms,query_planning_ms,rows_at_bench_start,total_rows_current,rows_affected
2026-04-20T04:15:12.936228+00:00,basic,basic,1,insert,insert_batch,1,,,,171.8735,,,500000,510000,10000
2026-04-20T04:15:13.316367+00:00,basic,basic,1,insert,insert_batch,2,,,,211.444,,,500000,520000,10000
2026-04-20T04:15:13.772602+00:00,basic,basic,1,insert,insert_batch,3,,,,282.3365,,,500000,530000,10000
2026-04-20T04:15:14.196659+00:00,basic,basic,1,insert,insert_batch,4,,,,244.5415,,,500000,540000,10000
2026-04-20T04:15:14.531605+00:00,basic,basic,1,insert,insert_batch,5,,,,163.248,,,500000,550000,10000
2026-04-20T04:15:14.629856+00:00,basic,basic,1,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,3,UPSERT,3.94,3.94,3.302,500000,550000,
2026-04-20T04:15:14.718139+00:00,basic,basic,1,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,3,DELETE,3.749,3.749,0.13,500000,550000,
2026-04-20T04:15:14.786339+00:00,basic,basic,1,query,query_by_table_source,1,tbl_ba6caf884af54241a0e904e6a03f2668,34,UPSERT,0.961,0.961,0.104,500000,550000,
2026-04-20T04:15:14.841809+00:00,basic,basic,1,query,query_by_table_source,1,tbl_ba6caf884af54241a0e904e6a03f2668,34,DELETE,0.817,0.817,0.101,500000,550000,
2026-04-20T04:15:14.896883+00:00,basic,basic,1,query,query_by_table_source,1,tbl_a59ca059560f4e8a929a4be2c9e9be34,1000,UPSERT,0.131,0.131,0.107,500000,550000,
2026-04-20T04:15:14.954358+00:00,basic,basic,1,query,query_by_table_source,1,tbl_a59ca059560f4e8a929a4be2c9e9be34,1000,DELETE,0.053,0.053,0.125,500000,550000,
2026-04-20T04:15:15.018192+00:00,basic,basic,1,query,query_by_table_source,1,tbl_ba6caf884af54241a0e904e6a03f2668,3,UPSERT,2.607,2.607,0.214,500000,550000,
2026-04-20T04:15:15.073581+00:00,basic,basic,1,query,query_by_table_source,1,tbl_ba6caf884af54241a0e904e6a03f2668,3,DELETE,2.12,2.12,0.143,500000,550000,
2026-04-20T04:15:15.130243+00:00,basic,basic,1,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,34,UPSERT,1.873,1.873,0.111,500000,550000,
2026-04-20T04:15:15.185158+00:00,basic,basic,1,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,34,DELETE,1.925,1.925,0.121,500000,550000,
2026-04-20T04:15:15.567092+00:00,basic,basic,1,update,set_integrated_true,1,,,,321.3652,,,500000,550000,0
2026-04-20T04:15:30.395738+00:00,basic,basic,2,insert,insert_batch,1,,,,252.9148,,,1050000,1060000,10000
2026-04-20T04:15:30.849555+00:00,basic,basic,2,insert,insert_batch,2,,,,208.1344,,,1050000,1070000,10000
2026-04-20T04:15:31.318326+00:00,basic,basic,2,insert,insert_batch,3,,,,199.5764,,,1050000,1080000,10000
2026-04-20T04:15:31.724274+00:00,basic,basic,2,insert,insert_batch,4,,,,166.0236,,,1050000,1090000,10000
2026-04-20T04:15:32.214592+00:00,basic,basic,2,insert,insert_batch,5,,,,240.7937,,,1050000,1100000,10000
2026-04-20T04:15:32.377732+00:00,basic,basic,2,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,3,UPSERT,29.461,29.461,1.958,1050000,1100000,
2026-04-20T04:15:32.711274+00:00,basic,basic,2,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,3,DELETE,13.71,13.71,0.199,1050000,1100000,
2026-04-20T04:15:33.030053+00:00,basic,basic,2,query,query_by_table_source,1,tbl_ba6caf884af54241a0e904e6a03f2668,34,UPSERT,5.698,5.698,0.167,1050000,1100000,
2026-04-20T04:15:33.136361+00:00,basic,basic,2,query,query_by_table_source,1,tbl_ba6caf884af54241a0e904e6a03f2668,34,DELETE,2.608,2.608,0.141,1050000,1100000,
2026-04-20T04:15:33.232654+00:00,basic,basic,2,query,query_by_table_source,1,tbl_a59ca059560f4e8a929a4be2c9e9be34,1000,UPSERT,0.559,0.559,0.127,1050000,1100000,
2026-04-20T04:15:33.316769+00:00,basic,basic,2,query,query_by_table_source,1,tbl_a59ca059560f4e8a929a4be2c9e9be34,1000,DELETE,0.052,0.052,0.126,1050000,1100000,
2026-04-20T04:15:33.416078+00:00,basic,basic,2,query,query_by_table_source,1,tbl_ba6caf884af54241a0e904e6a03f2668,3,UPSERT,10.518,10.518,0.142,1050000,1100000,
2026-04-20T04:15:33.508704+00:00,basic,basic,2,query,query_by_table_source,1,tbl_ba6caf884af54241a0e904e6a03f2668,3,DELETE,5.507,5.507,0.129,1050000,1100000,
2026-04-20T04:15:33.606316+00:00,basic,basic,2,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,34,UPSERT,11.69,11.69,0.129,1050000,1100000,
2026-04-20T04:15:33.698849+00:00,basic,basic,2,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,34,DELETE,6.053,6.053,0.138,1050000,1100000,
2026-04-20T04:15:34.199832+00:00,basic,basic,2,update,set_integrated_true,1,,,,399.8274,,,1050000,1100000,0
2026-04-20T04:15:47.818960+00:00,basic,basic,3,insert,insert_batch,1,,,,250.3449,,,1600000,1610000,10000
2026-04-20T04:15:48.465045+00:00,basic,basic,3,insert,insert_batch,2,,,,291.4676,,,1600000,1620000,10000
2026-04-20T04:15:49.468319+00:00,basic,basic,3,insert,insert_batch,3,,,,599.745,,,1600000,1630000,10000
2026-04-20T04:15:50.008345+00:00,basic,basic,3,insert,insert_batch,4,,,,183.6914,,,1600000,1640000,10000
2026-04-20T04:15:50.525335+00:00,basic,basic,3,insert,insert_batch,5,,,,173.4575,,,1600000,1650000,10000
2026-04-20T04:15:50.767519+00:00,basic,basic,3,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,3,UPSERT,51.422,51.422,0.163,1600000,1650000,
2026-04-20T04:15:50.950687+00:00,basic,basic,3,query,query_by_table_source,1,tbl_3b85d0a31ba742a081334137d2db7dd4,3,DELETE,21.385,21.385,0.13,1600000,1650000,
